,Standing screen display size,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Average Battery Life (in hours),Price,Brand,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions  LxWxH,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,Screen Resolution,Hardware Platform,Hard Drive Rotational Speed,Graphics Card Ram Size,Rear Webcam Resolution,Voltage,Package Dimensions,National Stock Number,Manufacturer,ASIN,Date First Available
0,15.6 Inches,1920 x 1080 Pixels,3.5 GHz ryzen_3,4 GB DDR4,3.5 GHz,128 GB SSD,AMD Radeon Vega 6 Mobile Graphics,AMD,Integrated,Bluetooth,1,3,10 Hours,395.34,Acer,A515-46-R14K,A515-46-R14K,Windows 10 S,3.96 pounds,14.31 x 9.86 x 0.71 inches,14.31 x 9.86 x 0.71 inches,Silver,AMD,4,DDR4 SDRAM,128,Solid State,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,
1,15.6 Inches,1920x1080,4.5 GHz core_i5,8 GB DDR4,4.5 GHz,SSD,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,Bluetooth,,4,11 Hours,812.8,Acer,AN515-55-53E5,AN515-55-53E5,Windows 10 Home,5.07 pounds,14.31 x 10.04 x 0.94 inches,14.31 x 10.04 x 0.94 inches,Black,Intel,4,DDR4 SDRAM,256,USB 3.2,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),,,,,,,,,,,
2,15.6 Inches,1920 x 1080 Pixels,4.2 GHz core_i5,8 GB DDR4,,512 GB SSD,Intel Iris,Intel,Integrated,"Bluetooth, 802.11ax",,,8 Hours,555.0,HP,HP 15 Laptop,15-dy2021nr,Windows 10 Home,3.75 pounds,14.11 x 9.53 x 0.71 inches,14.11 x 9.53 x 0.71 inches,Natural Silver,Intel,4,DDR4 SDRAM,256,Solid State,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),1920 x 1080 pixels,PC,5400 RPM,,,,,,,,
3,15.6 Inches,1920 x 1080 Pixels,4.7 GHz core_i7,16 GB DDR4,,512 GB SSD,Intel Iris,Intel,Integrated,"Bluetooth, 802.11ax",,,8 Hours,1199.0,HP,HP Pavilion 15 Laptop,15-eg0021nr,Windows 10 Pro,3.86 pounds,14.18 x 9.21 x 0.7 inches,14.18 x 9.21 x 0.7 inches,Natural Silver,Intel,4,DDR4 SDRAM,512,,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),1920 x 1080 pixels,PC,5400 RPM,,,,,,,,
4,17.3 Inches,1600 x 900 Pixels,4.2 GHz core_i5,8 GB DDR4,,SSD,Intel Iris Xe,Intel,Integrated,"Bluetooth, 802.11ax",,,8 Hours,630.0,HP,17-cn0021nr,17-cn0021nr,Windows 10 Home,4.6 pounds,15.78 x 10.15 x 0.78 inches,15.78 x 10.15 x 0.78 inches,Natural Silver,Intel,4,DDR4 SDRAM,256,Solid State,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),1600 x 900 pixels,PC,5400 RPM,,,,,,,,
5,15.6 Inches,1920 x 1080 Pixels,4.1 GHz core_i3,4 GB DDR4,4.1 GHz,128 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,1,3,,398.55,Acer,A515-56-36UT,A515-56-36UT,Windows 10 S,4.19 pounds,14.31 x 9.39 x 0.7 inches,14.31 x 9.39 x 0.7 inches,Silver,Intel,2,DDR4 SDRAM,128,Solid State,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,
6,15.6 Inches,1920 x 1080 Pixels,2.6 GHz amd_r_series,16 GB,,1 TB SSD,AMD Radeon Graphics,AMD,,Bluetooth,,,,649.0,HP,,Notebook,Windows 10,3.75 pounds,14.11 x 0.78 x 9.53 inches,14.11 x 0.78 x 9.53 inches,Silver,AMD,2,DDR4 SDRAM,,PCIE x 4,,,,,PC,,,,,,,,,
7,15.6 Inches,1366 x 768 Pixels,1.1 GHz pentium_N5000,16 GB DDR4,3.1 GHz,128 GB SSD,Intel UHD Graphics 605,Intel,,802.11ac,,,,589.0,Dell,,Inspiron 15,Windows 10,4.07 pounds,14.11 x 9.27 x 0.74 inches,14.11 x 9.27 x 0.74 inches,Black,Intel,4,DDR4 SDRAM,512 GB,Solid State,No Optical Drive,AC & Battery,,1366x768,PC,,,,,,,,,
8,11.6 Inches,1920 x 1080 Pixels,1.1 GHz celeron,4 GB DDR3L,2.6 GHz,Embedded MultiMediaCard,Intel UHD Graphics 600,Intel,Integrated,"Bluetooth, 802.11ac",,3,12 Hours,233.48,HP,HP Stream 11,11-ak0010nr,Windows 10 Home,2.37 pounds,11.08 x 7.59 x 0.66 inches,11.08 x 7.59 x 0.66 inches,Royal Blue,Intel,2,DDR3 SDRAM,32,,No Optical Drive,Battery Powered,1 Lithium Metal batteries required. (included),1920 x 1080 pixels,PC,,,,,,,,,
9,14 Inches,1366 x 768 Pixels,2.6 GHz a4_3020e,8 GB,2.6 GHz,256 GB SSD,AMD Radeon™ Graphics,AMD,,"Bluetooth, 802.11a/g/n/ac",,2,,439.0,HP,,HP,Windows 10,3.24 pounds,12.76 x 8.86 x 0.71 inches,12.76 x 8.86 x 0.71 inches,Indigo Blue,AMD,2,DDR4 SDRAM,256 GB,Solid State,,AC & Battery,1 Lithium Polymer batteries required.,1360x768,PC,,,,,,,,,
