,display_size,Resolution,Processor,RAM,Hard_Drive,Battery_Life,Price,Brand,Weight,Color,Processor_Brand,Processor_Count
0,15.6,1920 x 1080 Pixels,3.5,4.0,128.0,10.0,395.34,Acer,3.0,Silver,AMD,4.0
1,15.6,1920 x 1080 Pixels,4.5,8.0,512.0,11.0,812.8,Acer,5.0,Black,Intel,4.0
2,15.6,1920 x 1080 Pixels,4.2,8.0,512.0,8.0,555.0,HP,3.0,Silver,Intel,4.0
3,15.6,1920 x 1080 Pixels,4.7,16.0,512.0,8.0,1199.0,HP,3.0,Silver,Intel,4.0
4,17.3,1600 x 900 Pixels,4.2,8.0,512.0,8.0,630.0,HP,4.0,Silver,Intel,4.0
5,15.6,1920 x 1080 Pixels,4.1,4.0,128.0,7.0,398.55,Acer,4.0,Silver,Intel,2.0
6,15.6,1920 x 1080 Pixels,2.6,16.0,128.0,7.0,649.0,HP,3.0,Silver,AMD,2.0
7,15.6,1366 x 768 Pixels,1.1,16.0,128.0,7.0,589.0,Dell,4.0,Black,Intel,4.0
8,11.6,1920 x 1080 Pixels,1.1,4.0,64.0,12.0,233.48,HP,2.0,Blue,Intel,2.0
9,14.0,1366 x 768 Pixels,2.6,8.0,256.0,7.0,439.0,HP,3.0,Blue,AMD,2.0
10,15.6,1920 x 1080 Pixels,2.8,8.0,128.0,9.0,399.0,HP,3.0,Black,Intel,2.0
11,15.6,1920 x 1080 Pixels,3.6,8.0,128.0,7.0,538.07,ASUS,3.0,Gray,AMD,4.0
12,15.6,1366 x 768 Pixels,1.1,8.0,128.0,3.0,409.0,HP,3.0,Red,Intel,2.0
13,15.6,1366 x 768 Pixels,1.8,8.0,512.0,7.0,405.0,Dell,6.0,Black,Intel,2.0
14,15.6,1920 x 1080 Pixels,1.1,4.0,256.0,8.0,349.99,ASUS,3.0,Blue,Intel,2.0
15,15.6,1920 x 1080 Pixels,3.2,16.0,512.0,7.0,549.0,HP,3.0,Silver,AMD,2.0
16,14.0,1920 x 1080 Pixels,2.4,4.0,64.0,11.0,279.99,HP,3.0,White,Intel,2.0
17,14.0,1366 x 768 Pixels,1.1,4.0,64.0,9.0,369.0,HP,3.0,Silver,Intel,2.0
18,15.6,1920 x 1080 Pixels,2.6,16.0,512.0,7.0,784.0,MSI,5.0,Black,Intel,4.0
19,15.6,1366 x 768 Pixels,1.0,12.0,256.0,7.0,619.99,HP,4.0,Silver,Intel,4.0
20,15.6,1366 x 768 Pixels,1.0,12.0,256.0,8.0,608.9,Lenovo,7.0,Gray,Intel,2.0
21,15.6,1920 x 1080 Pixels,2.1,16.0,512.0,7.0,649.99,HP,4.0,Silver,AMD,6.0
22,15.6,1366 x 768 Pixels,1.1,16.0,512.0,7.0,529.0,Dell,4.0,Black,Intel,2.0
23,14.0,1920 x 1080 Pixels,4.2,12.0,256.0,9.0,690.0,HP,3.0,Silver,Intel,4.0
24,15.6,1366 x 768 Pixels,1.1,16.0,256.0,7.0,529.0,Dell,3.0,Black,Intel,2.0
25,15.6,1366 x 768 Pixels,2.4,16.0,128.0,7.0,879.99,HP,5.0,Silver,Intel,4.0
26,15.6,1920 x 1080 Pixels,2.8,8.0,256.0,7.0,469.99,HP,3.0,Black,Intel,2.0
27,14.0,1366 x 768 Pixels,2.6,8.0,64.0,7.0,359.0,HP,3.0,Blue,Intel,2.0
28,15.6,1366 x 768 Pixels,1.1,16.0,512.0,7.0,559.0,Dell,3.0,Black,Intel,2.0
29,15.6,1366 x 768 Pixels,3.2,16.0,256.0,9.0,529.0,HP,3.0,Gold,AMD,2.0
30,15.6,1920 x 1080 Pixels,4.6,16.0,512.0,6.0,1299.99,Acer,5.0,Black,Intel,8.0
31,17.3,1920 x 1080 Pixels,2.1,16.0,256.0,8.0,799.9,HP,5.0,Silver,AMD,6.0
32,15.6,1920 x 1080 Pixels,4.0,20.0,512.0,7.0,699.0,Lenovo,3.0,Black,AMD,6.0
